sales,price,compPrice,income,advertising,population,age,shelveLoc,location,country
17.57,107,132,102,20,459,49,Good,Urban,USA
12.99,99,127,59,4,339,65,Medium,Urban,Other
16.19,72,98,104,23,404,27,Medium,Rural,Other
9.11,106,113,69,11,94,76,Medium,Rural,USA
11.97,129,127,45,19,459,57,Medium,Rural,USA
17.85,112,123,37,15,348,28,Good,Urban,USA
12.67,101,129,117,8,400,36,Bad,Urban,USA
10.68,132,113,22,1,317,28,Medium,Urban,Other
14.4,96,135,40,17,497,54,Medium,Rural,USA
7.67,128,115,54,3,406,42,Medium,Urban,USA
16.82,74,113,66,16,322,76,Good,Urban,USA
16.91,84,133,82,11,54,NA,Medium,Urban,Other
14.49,103,107,111,14,400,41,Medium,Rural,USA
13.67,112,125,62,14,477,80,Medium,Urban,USA
13.01,79,113,100,16,353,68,Bad,Urban,USA
10.86,152,136,70,12,171,44,Medium,Urban,USA
15.66,81,104,71,14,89,25,Medium,Rural,USA
17.53,112,142,90,1,189,39,Good,Rural,USA
15.64,70,102,87,10,346,64,Medium,Urban,USA
10.55,97,104,100,8,398,61,Medium,Urban,USA
12.64,128,128,78,2,341,45,Good,Rural,Other
11.71,137,119,67,17,151,55,Medium,Urban,USA
14.24,126,126,80,19,436,52,Medium,Urban,USA
13.55,92,88,111,23,480,36,Bad,Rural,USA
10.21,114,118,71,4,148,80,Medium,Urban,Other
17.66,99,148,76,3,126,60,Good,Urban,USA
9.1,133,130,28,6,410,72,Bad,Urban,USA
9.47,147,143,120,7,279,40,Bad,Rural,USA
10.58,148,134,25,10,237,59,Medium,Urban,USA
10.71,118,121,42,4,188,54,Medium,Urban,USA
10.74,104,106,33,20,354,61,Medium,Urban,USA
13.78,100,130,30,7,391,26,Medium,Urban,Other
11.5,150,148,51,16,148,58,Medium,Rural,USA
14.35,68,98,117,12,76,63,Medium,Urban,Other
13.67,115,142,73,14,238,73,Medium,Rural,USA
17.29,131,147,74,13,251,52,Good,Urban,USA
10.87,109,121,31,6,292,79,Medium,Urban,Other
10.17,120,131,75,9,10,31,Bad,Rural,Other
14.1,112,128,93,12,343,73,Good,Rural,USA
9.1,130,121,78,4,413,46,Bad,Rural,USA
10.64,122,124,24,5,288,57,Medium,Rural,USA
10.28,110,108,77,13,388,74,Bad,Urban,USA
11.89,110,129,69,10,289,50,Medium,Rural,USA
17.49,55,93,106,12,416,75,Medium,Urban,USA
11.81,125,132,61,5,263,41,Medium,Rural,Other
13.14,78,135,89,11,245,79,Bad,Urban,USA
12.44,104,124,84,6,300,77,Medium,Urban,Other
10.27,107,98,118,4,19,64,Medium,Urban,Other
9.97,160,162,67,7,27,77,Medium,Urban,USA
11.98,97,116,40,9,74,76,Medium,Rural,Other
10.36,101,111,52,7,12,61,Medium,Urban,USA
14.64,89,106,64,10,17,68,Medium,Urban,USA
17.44,70,127,90,14,16,48,Medium,Rural,USA
11.59,102,109,73,2,454,65,Medium,Urban,Other
13.47,101,119,88,10,170,61,Medium,Urban,USA
10.87,147,136,60,7,303,41,Medium,Urban,USA
14.08,126,152,81,20,191,54,Medium,Urban,Other
10.61,154,138,107,9,480,47,Medium,Rural,USA
13.21,123,127,44,13,160,63,Good,Urban,USA
10.31,129,130,35,10,402,39,Bad,Urban,USA
12.71,69,98,72,2,59,65,Medium,Urban,Other
16.85,120,136,81,15,425,67,Good,Urban,USA
13.75,156,143,77,25,448,43,Medium,Urban,USA
8.63,149,122,74,5,424,51,Medium,Urban,Other
9.42,94,109,36,7,468,56,Bad,Urban,USA
6.82,133,139,45,1,146,77,Bad,Urban,USA
15.1,134,135,63,15,213,32,Medium,Urban,USA
12.71,81,123,81,8,198,80,Bad,Urban,USA
13.31,117,133,97,4,70,32,Medium,Urban,Other
14.43,129,115,62,11,289,56,Good,Rural,USA
11.68,82,107,25,6,412,36,Bad,Urban,Other
14.32,70,119,60,16,372,30,Bad,Rural,Other
13.54,129,139,35,7,95,42,Medium,Urban,Other
14.7,120,138,61,12,156,25,Medium,Urban,USA
10.08,138,128,46,6,497,42,Medium,Urban,Other
11.11,119,133,88,3,105,79,Medium,Urban,USA
9.17,118,123,96,10,71,69,Bad,Urban,USA
12.41,159,162,26,12,368,40,Medium,Urban,USA
11.41,131,125,90,2,367,35,Medium,Urban,USA
14.01,100,121,78,9,150,26,Bad,Rural,USA
12.77,115,116,26,6,434,25,Medium,Urban,USA
15.44,105,124,115,16,458,62,Medium,Rural,USA
14.95,97,132,33,7,35,60,Medium,Rural,USA
15,88,114,43,14,199,57,Good,Rural,USA
13.57,99,116,78,1,158,45,Medium,Urban,USA
12.68,119,126,41,22,403,42,Bad,Urban,USA
17.04,105,145,69,19,501,45,Medium,Urban,USA
11.56,111,117,42,7,144,62,Medium,Urban,USA
11.71,93,106,73,11,216,60,Medium,Urban,Other
12.37,128,130,94,8,137,64,Medium,Urban,USA
20.63,72,122,36,5,369,35,Good,Urban,USA
12.4,97,117,100,4,466,55,Medium,Urban,USA
12.91,129,153,40,3,112,39,Bad,Urban,USA
11.2,137,107,32,12,236,64,Good,Rural,USA
14.58,129,108,104,23,353,37,Good,Urban,USA
13.87,120,131,113,13,181,63,Good,Urban,Other
8.89,118,123,105,5,149,62,Bad,Urban,USA
9.83,107,115,115,3,48,73,Medium,Urban,USA
10.42,103,103,93,15,188,74,Bad,Urban,USA
11.88,112,96,39,6,161,27,Good,Rural,Other
13.98,90,115,65,11,217,60,Medium,Rural,Other
16.27,133,153,68,2,60,59,Good,Urban,USA
15.08,130,116,72,10,456,41,Good,Rural,USA
10.4,163,149,73,13,381,26,Bad,Rural,USA
14.48,132,147,42,10,407,73,Good,Rural,USA
16.7,126,131,67,7,272,54,Good,Rural,USA
9.56,135,141,63,7,168,44,Bad,Urban,USA
14.46,99,89,81,15,237,74,Good,Urban,USA
10.99,121,117,42,10,371,26,Bad,Urban,USA
9.69,122,133,30,5,152,53,Medium,Urban,Other
15.14,113,145,119,16,294,42,Bad,Urban,USA
10.33,103,115,22,4,491,64,Medium,Rural,Other
7.86,145,121,86,10,496,51,Bad,Urban,USA
10.36,117,135,110,3,112,80,Medium,Rural,Other
11.9,90,120,56,20,266,78,Bad,Urban,USA
12.54,122,115,89,4,38,25,Medium,Urban,Other
11.15,132,146,68,12,328,51,Bad,Urban,USA
13.39,84,115,97,5,134,55,Bad,Urban,USA
18.14,105,137,80,10,24,61,Good,Urban,USA
9.53,130,129,42,13,315,34,Bad,Urban,USA
13.79,101,130,37,13,297,37,Medium,Rural,USA
11.43,107,124,44,9,125,80,Medium,Urban,Other
11.8,135,137,117,5,337,38,Bad,Urban,USA
18.44,122,133,103,14,288,61,Good,Urban,USA
13.64,91,111,101,17,266,63,Medium,Rural,USA
14.31,106,122,87,9,17,65,Medium,Urban,USA
13.77,114,118,86,7,265,52,Good,Rural,USA
14.71,120,134,37,6,27,49,Good,Urban,USA
11.67,173,156,42,13,170,74,Good,Urban,USA
9.55,110,111,56,6,504,62,Medium,Urban,Other
12.6,131,146,26,11,261,39,Medium,Urban,USA
13.68,104,131,25,10,183,56,Medium,Rural,USA
13.09,122,132,69,20,123,27,Medium,Rural,Other
9.81,107,97,46,11,267,80,Medium,Urban,USA
16.17,118,107,117,11,148,52,Good,Urban,USA
9.95,110,121,41,5,412,54,Medium,Urban,USA
13.69,101,113,64,10,68,57,Medium,Urban,USA
12.81,102,104,99,15,226,58,Bad,Urban,USA
18.36,72,103,73,3,276,34,Medium,Urban,USA
12.8,104,100,67,12,184,32,Medium,Rural,USA
13.61,102,130,38,4,283,80,Medium,Urban,Other
11.67,132,107,119,11,210,53,Medium,Urban,USA
8.24,138,130,60,6,144,38,Bad,Rural,Other
11.18,110,120,70,15,464,72,Medium,Urban,USA
8.42,158,141,57,13,376,64,Medium,Urban,USA
12.53,113,117,118,11,429,67,Medium,Rural,USA
12.57,99,112,88,2,243,62,Medium,Urban,USA
15.26,108,111,75,1,377,25,Good,Urban,Other
12.62,97,132,98,2,265,62,Bad,Urban,USA
17.11,104,118,117,18,509,26,Medium,Rural,USA
11.03,96,117,32,5,142,62,Bad,Urban,Other
18.28,96,139,70,7,71,61,Good,Urban,USA
15.98,130,148,63,18,312,63,Good,Urban,Other
12.49,145,136,119,6,178,35,Medium,Urban,USA
17.61,104,118,90,10,54,31,Good,Rural,USA
14.5,120,138,73,11,276,42,Bad,Urban,USA
14.09,123,132,68,14,264,34,Good,Rural,Other
7.05,157,131,82,3,132,25,Bad,Urban,Other
11.88,72,95,44,4,208,44,Bad,Urban,USA
8.67,131,132,31,7,327,76,Medium,Urban,Other
19.37,53,95,106,14,256,52,Good,Urban,Other
15.61,149,157,93,9,51,32,Good,Urban,Other
12.5,91,140,29,6,105,43,Bad,Urban,Other
11.64,89,118,70,2,106,39,Bad,Urban,Other
10.58,116,137,71,7,402,78,Medium,Urban,Other
9.9,128,122,26,3,197,55,Medium,Rural,Other
12.96,124,157,53,6,403,58,Bad,Urban,Other
10.87,132,131,73,13,455,62,Medium,Urban,USA
13.19,97,111,105,16,466,61,Bad,Rural,Other
5.37,191,147,58,7,100,27,Bad,Urban,USA
18.55,89,125,94,8,447,30,Good,Urban,Other
16.62,139,151,83,4,325,28,Good,Urban,USA
11.88,108,119,100,5,45,75,Medium,Urban,USA
9.68,135,124,46,5,199,52,Medium,Rural,Other
13.77,117,144,63,11,27,47,Medium,Urban,USA
11.41,136,142,30,3,472,80,Good,Rural,Other
11.97,96,106,46,11,414,79,Bad,Rural,Other
